Identifier,District,Event,Level,Level_Rank,Level_Basis,Severity,Urgency,Certainty,Is_Flood,Msg_Type,Sent,Effective,Expires,Headline,Sender,Source_URL
IN-1789957059562006_6,Pathanamthitta,Moderate Rain,Orange,2,severity,Severe,Expected,Likely,No,Update,2026-09-21 07:58:47,2026-09-21 07:44:00,2026-09-21 10:44:00,"Thunderstorm with Moderate rainfall (5-15mm/ hour) with wind speed likely to be 40 Kmph (in Gusts) at isolated places in Alappuzha, Pathanamthitta, Kottayam, Ernakulam, Idukki and Thrissur                                                                                                      in next 3 hours.",Kerala-SDMA,https://sachet.ndma.gov.in/cap_public_website/FetchXMLFile?identifier=1789957059562006
IN-1789957059562006_6,Alappuzha,Moderate Rain,Orange,2,severity,Severe,Expected,Likely,No,Update,2026-09-21 07:58:47,2026-09-21 07:44:00,2026-09-21 10:44:00,"Thunderstorm with Moderate rainfall (5-15mm/ hour) with wind speed likely to be 40 Kmph (in Gusts) at isolated places in Alappuzha, Pathanamthitta, Kottayam, Ernakulam, Idukki and Thrissur                                                                                                      in next 3 hours.",Kerala-SDMA,https://sachet.ndma.gov.in/cap_public_website/FetchXMLFile?identifier=1789957059562006
IN-1789957059562006_6,Kottayam,Moderate Rain,Orange,2,severity,Severe,Expected,Likely,No,Update,2026-09-21 07:58:47,2026-09-21 07:44:00,2026-09-21 10:44:00,"Thunderstorm with Moderate rainfall (5-15mm/ hour) with wind speed likely to be 40 Kmph (in Gusts) at isolated places in Alappuzha, Pathanamthitta, Kottayam, Ernakulam, Idukki and Thrissur                                                                                                      in next 3 hours.",Kerala-SDMA,https://sachet.ndma.gov.in/cap_public_website/FetchXMLFile?identifier=1789957059562006
IN-1789957059562006_6,Idukki,Moderate Rain,Orange,2,severity,Severe,Expected,Likely,No,Update,2026-09-21 07:58:47,2026-09-21 07:44:00,2026-09-21 10:44:00,"Thunderstorm with Moderate rainfall (5-15mm/ hour) with wind speed likely to be 40 Kmph (in Gusts) at isolated places in Alappuzha, Pathanamthitta, Kottayam, Ernakulam, Idukki and Thrissur                                                                                                      in next 3 hours.",Kerala-SDMA,https://sachet.ndma.gov.in/cap_public_website/FetchXMLFile?identifier=1789957059562006
IN-1789957059562006_6,Ernakulam,Moderate Rain,Orange,2,severity,Severe,Expected,Likely,No,Update,2026-09-21 07:58:47,2026-09-21 07:44:00,2026-09-21 10:44:00,"Thunderstorm with Moderate rainfall (5-15mm/ hour) with wind speed likely to be 40 Kmph (in Gusts) at isolated places in Alappuzha, Pathanamthitta, Kottayam, Ernakulam, Idukki and Thrissur                                                                                                      in next 3 hours.",Kerala-SDMA,https://sachet.ndma.gov.in/cap_public_website/FetchXMLFile?identifier=1789957059562006
IN-1789957059562006_6,Thrissur,Moderate Rain,Orange,2,severity,Severe,Expected,Likely,No,Update,2026-09-21 07:58:47,2026-09-21 07:44:00,2026-09-21 10:44:00,"Thunderstorm with Moderate rainfall (5-15mm/ hour) with wind speed likely to be 40 Kmph (in Gusts) at isolated places in Alappuzha, Pathanamthitta, Kottayam, Ernakulam, Idukki and Thrissur                                                                                                      in next 3 hours.",Kerala-SDMA,https://sachet.ndma.gov.in/cap_public_website/FetchXMLFile?identifier=1789957059562006
IN-1789945498146006_6,Kottayam,Moderate Rain,Orange,2,severity,Severe,Expected,Likely,No,Update,2026-09-21 04:41:08,2026-09-21 04:33:00,2026-09-21 07:33:00,"Thunderstorm with Moderate Rain is very likely to occur at most places over Ernakulam, Idukki, Kottayam, Malappuram, Palakkad, Thrissur in next 3 hours.",Kerala-SDMA,https://sachet.ndma.gov.in/cap_public_website/FetchXMLFile?identifier=1789945498146006
IN-1789945498146006_6,Idukki,Moderate Rain,Orange,2,severity,Severe,Expected,Likely,No,Update,2026-09-21 04:41:08,2026-09-21 04:33:00,2026-09-21 07:33:00,"Thunderstorm with Moderate Rain is very likely to occur at most places over Ernakulam, Idukki, Kottayam, Malappuram, Palakkad, Thrissur in next 3 hours.",Kerala-SDMA,https://sachet.ndma.gov.in/cap_public_website/FetchXMLFile?identifier=1789945498146006
IN-1789945498146006_6,Ernakulam,Moderate Rain,Orange,2,severity,Severe,Expected,Likely,No,Update,2026-09-21 04:41:08,2026-09-21 04:33:00,2026-09-21 07:33:00,"Thunderstorm with Moderate Rain is very likely to occur at most places over Ernakulam, Idukki, Kottayam, Malappuram, Palakkad, Thrissur in next 3 hours.",Kerala-SDMA,https://sachet.ndma.gov.in/cap_public_website/FetchXMLFile?identifier=1789945498146006
IN-1789945498146006_6,Thrissur,Moderate Rain,Orange,2,severity,Severe,Expected,Likely,No,Update,2026-09-21 04:41:08,2026-09-21 04:33:00,2026-09-21 07:33:00,"Thunderstorm with Moderate Rain is very likely to occur at most places over Ernakulam, Idukki, Kottayam, Malappuram, Palakkad, Thrissur in next 3 hours.",Kerala-SDMA,https://sachet.ndma.gov.in/cap_public_website/FetchXMLFile?identifier=1789945498146006
